ferramenta,tipo_template,recurso,peso
Escala de Johns,escala,infografico,1
Escala de Johns,escala,biblioteca,2
Escala de Jouvet,escala,calculadora,3
Escala de Jouvet,escala,artigo,1
Escala de Jouvet,escala,quiz,2
Escala de Jouvet,escala,guia_bolso,1
Escala de Jouvet,escala,flashcards,1
Escala de Jouvet,escala,caso_clinico,2
Escala de Jouvet,escala,checklist,2
Escala de Jouvet,escala,slides,1
Escala de Jouvet,escala,infografico,1
Escala de Jouvet,escala,biblioteca,2
Escala de Katz,escala,calculadora,3
Escala de Katz,escala,artigo,1
Escala de Katz,escala,quiz,2
Escala de Katz,escala,guia_bolso,1
Escala de Katz,escala,flashcards,1
Escala de Katz,escala,caso_clinico,2
Escala de Katz,escala,checklist,2
Escala de Katz,escala,slides,1
Escala de Katz,escala,infografico,1
Escala de Katz,escala,biblioteca,2
Escala de Lachs,escala,calculadora,3
Escala de Lachs,escala,artigo,1
Escala de Lachs,escala,quiz,2
Escala de Lachs,escala,guia_bolso,1
Escala de Lachs,escala,flashcards,1
Escala de Lachs,escala,caso_clinico,2
Escala de Lachs,escala,checklist,2
Escala de Lachs,escala,slides,1
Escala de Lachs,escala,infografico,1
Escala de Lachs,escala,biblioteca,2
Escala qSOFA,escala,calculadora,3
Escala qSOFA,escala,artigo,1
Escala qSOFA,escala,quiz,2
Escala qSOFA,escala,guia_bolso,1
Escala qSOFA,escala,flashcards,1
Escala qSOFA,escala,caso_clinico,2
Escala qSOFA,escala,checklist,2
Escala qSOFA,escala,slides,1
Escala qSOFA,escala,infografico,1
Escala qSOFA,escala,biblioteca,2
Formulario SAEP,ferramenta,artigo,1
Formulario SAEP,ferramenta,guia_bolso,1
Formulario SAEP,ferramenta,checklist,2
Formulario SAEP,ferramenta,biblioteca,2
Idade Gestacional e DPP,calculadora,calculadora,3
Idade Gestacional e DPP,calculadora,artigo,1
Idade Gestacional e DPP,calculadora,quiz,2
Idade Gestacional e DPP,calculadora,guia_bolso,1
Idade Gestacional e DPP,calculadora,flashcards,1
Idade Gestacional e DPP,calculadora,checklist,2
Idade Gestacional e DPP,calculadora,caso_clinico,2
Idade Gestacional e DPP,calculadora,slides,1
Idade Gestacional e DPP,calculadora,infografico,1
Idade Gestacional e DPP,calculadora,mapa_mental,1
Idade Gestacional e DPP,calculadora,simulado,3
Idade Gestacional e DPP,calculadora,biblioteca,2
Indice de Bishop,escala,calculadora,3
Indice de Bishop,escala,artigo,1
Indice de Bishop,escala,quiz,2
Indice de Bishop,escala,guia_bolso,1
Indice de Bishop,escala,flashcards,1
Indice de Bishop,escala,caso_clinico,2
Indice de Bishop,escala,checklist,2
Indice de Bishop,escala,slides,1
Indice de Bishop,escala,infografico,1
Indice de Bishop,escala,biblioteca,2
Quiz Interativo,educacional,quiz,2
Quiz Interativo,educacional,simulado,3
Quiz Interativo,educacional,flashcards,1
Quiz Interativo,educacional,biblioteca,2
Rancho Los Amigos,escala,calculadora,3
Rancho Los Amigos,escala,artigo,1
Rancho Los Amigos,escala,quiz,2
