======================================================================
      RELATÓRIO DE LIMPEZA E PADRONIZAÇÃO DE HREFLANG         
======================================================================

Total de arquivos com intervenção: 1512
Total de arquivos já corretos/intactos: 20

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[PADRONIZADO] de\morse.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\news.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\nihss.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\nips.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\norton.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\nossocompromisso.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\objetivo.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\ofras.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\painad.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\pelod.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\perroca.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\pews.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\politica.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\politicadeacessibilidade.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\prism.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\qsofa.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\rancholosamigos.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\richmond.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\saps.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\silverman.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\sofa.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\tecnologiaverde.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\termos.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\tinetti.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\waterlow.html | pt-br corrigido para pt-BR
[PADRONIZADO] de\zarit.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\aldrete.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\apache.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\apgar.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\asa.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\balancohidrico.html | pt corrigido para pt-BR
[PADRONIZADO] it\ballard.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\barthel.html | pt-br corrigido para pt-BR
